family_id	family_name	root	leaf	entrez_gene_id	gene_symbol
16	Cadherins	1	0	56098	PCDHGC4
16	Cadherins	1	0	56099	PCDHGB7
16	Cadherins	1	0	56100	PCDHGB6
16	Cadherins	1	0	56101	PCDHGB5
16	Cadherins	1	0	56102	PCDHGB3
16	Cadherins	1	0	56103	PCDHGB2
16	Cadherins	1	0	56104	PCDHGB1
16	Cadherins	1	0	56105	PCDHGA11
16	Cadherins	1	0	56106	PCDHGA10
16	Cadherins	1	0	56107	PCDHGA9
16	Cadherins	1	0	56108	PCDHGA7
16	Cadherins	1	0	56109	PCDHGA6
16	Cadherins	1	0	56110	PCDHGA5
16	Cadherins	1	0	56111	PCDHGA4
16	Cadherins	1	0	56112	PCDHGA3
16	Cadherins	1	0	56113	PCDHGA2
16	Cadherins	1	0	56114	PCDHGA1
16	Cadherins	1	0	56115	PCDHG@
16	Cadherins	1	0	56116	PCDHB@
16	Cadherins	1	0	56117	PCDHA@
16	Cadherins	1	0	56118	PCDHGCT
16	Cadherins	1	0	56119	PCDHACT
16	Cadherins	1	0	56120	PCDHGB8P
16	Cadherins	1	0	56121	PCDHB15
16	Cadherins	1	0	56122	PCDHB14
16	Cadherins	1	0	56123	PCDHB13
16	Cadherins	1	0	56124	PCDHB12
16	Cadherins	1	0	56125	PCDHB11
16	Cadherins	1	0	56126	PCDHB10
16	Cadherins	1	0	56127	PCDHB9
16	Cadherins	1	0	56128	PCDHB8
16	Cadherins	1	0	56129	PCDHB7
16	Cadherins	1	0	56130	PCDHB6
16	Cadherins	1	0	56131	PCDHB4
16	Cadherins	1	0	56132	PCDHB3
16	Cadherins	1	0	56133	PCDHB2
16	Cadherins	1	0	56134	PCDHAC2
16	Cadherins	1	0	56135	PCDHAC1
16	Cadherins	1	0	56136	PCDHA13
16	Cadherins	1	0	56137	PCDHA12
16	Cadherins	1	0	56138	PCDHA11
16	Cadherins	1	0	56139	PCDHA10
16	Cadherins	1	0	56140	PCDHA8
16	Cadherins	1	0	56141	PCDHA7
16	Cadherins	1	0	56142	PCDHA6
16	Cadherins	1	0	56143	PCDHA5
16	Cadherins	1	0	56144	PCDHA4
16	Cadherins	1	0	56145	PCDHA3
16	Cadherins	1	0	56146	PCDHA2
16	Cadherins	1	0	56147	PCDHA1
16	Cadherins	1	0	57526	PCDH19
16	Cadherins	1	0	57575	PCDH10
16	Cadherins	1	0	57717	PCDHB16
16	Cadherins	1	0	60437	CDH26
16	Cadherins	1	0	64072	CDH23
16	Cadherins	1	0	64084	CLSTN2
16	Cadherins	1	0	64403	CDH24
16	Cadherins	1	0	64405	CDH22
16	Cadherins	1	0	64881	PCDH20
16	Cadherins	1	0	65217	PCDH15
16	Cadherins	1	0	79633	FAT4
16	Cadherins	1	0	83259	PCDH11Y
16	Cadherins	1	0	84054	PCDHB19P
16	Cadherins	1	0	84055	PCDHGB9P
16	Cadherins	1	0	92211	CDHR1
16	Cadherins	1	0	120114	FAT3
16	Cadherins	1	0	147409	DSG4
16	Cadherins	1	0	222256	CDHR3
16	Cadherins	1	0	389118	CDHR4
18	Major cadherins	0	0	999	CDH1
18	Major cadherins	0	0	1000	CDH2
18	Major cadherins	0	0	1001	CDH3
18	Major cadherins	0	0	1002	CDH4
18	Major cadherins	0	0	1003	CDH5
18	Major cadherins	0	0	1004	CDH6
18	Major cadherins	0	0	1005	CDH7
18	Major cadherins	0	0	1006	CDH8
18	Major cadherins	0	0	1007	CDH9
18	Major cadherins	0	0	1008	CDH10
18	Major cadherins	0	0	1009	CDH11
18	Major cadherins	0	0	1010	CDH12
18	Major cadherins	0	0	1012	CDH13
18	Major cadherins	0	0	1013	CDH15
18	Major cadherins	0	0	1014	CDH16
18	Major cadherins	0	0	1015	CDH17
18	Major cadherins	0	0	1016	CDH18
18	Major cadherins	0	0	1823	DSC1
18	Major cadherins	0	0	1824	DSC2
18	Major cadherins	0	0	1825	DSC3
18	Major cadherins	0	0	1828	DSG1
18	Major cadherins	0	0	1829	DSG2
18	Major cadherins	0	0	1830	DSG3
18	Major cadherins	0	0	1951	CELSR3
18	Major cadherins	0	0	1952	CELSR2
18	Major cadherins	0	0	9620	CELSR1
18	Major cadherins	0	0	28316	CDH20
18	Major cadherins	0	0	28513	CDH19
18	Major cadherins	0	0	60437	CDH26
18	Major cadherins	0	0	64403	CDH24
18	Major cadherins	0	0	64405	CDH22
18	Major cadherins	0	0	147409	DSG4
19	Protocadherins	0	0	5097	PCDH1
19	Protocadherins	0	0	5098	PCDHGC3
19	Protocadherins	0	0	5099	PCDH7
19	Protocadherins	0	0	5100	PCDH8
19	Protocadherins	0	0	5101	PCDH9
19	Protocadherins	0	0	8641	PCDHGB4
19	Protocadherins	0	0	9708	PCDHGA8
19	Protocadherins	0	0	9752	PCDHA9
19	Protocadherins	0	0	26025	PCDHGA12
19	Protocadherins	0	0	26167	PCDHB5
19	Protocadherins	0	0	26307	PCDHA14
19	Protocadherins	0	0	27253	PCDH17
19	Protocadherins	0	0	27328	PCDH11X
19	Protocadherins	0	0	29930	PCDHB1
19	Protocadherins	0	0	51294	PCDH12
19	Protocadherins	0	0	54510	PCDH18
19	Protocadherins	0	0	54660	PCDHB18P
19	Protocadherins	0	0	54661	PCDHB17P
19	Protocadherins	0	0	56097	PCDHGC5
19	Protocadherins	0	0	56098	PCDHGC4
19	Protocadherins	0	0	56099	PCDHGB7
19	Protocadherins	0	0	56100	PCDHGB6
19	Protocadherins	0	0	56101	PCDHGB5
19	Protocadherins	0	0	56102	PCDHGB3
19	Protocadherins	0	0	56103	PCDHGB2
19	Protocadherins	0	0	56104	PCDHGB1
19	Protocadherins	0	0	56105	PCDHGA11
19	Protocadherins	0	0	56106	PCDHGA10
19	Protocadherins	0	0	56107	PCDHGA9
19	Protocadherins	0	0	56108	PCDHGA7
19	Protocadherins	0	0	56109	PCDHGA6
19	Protocadherins	0	0	56110	PCDHGA5
19	Protocadherins	0	0	56111	PCDHGA4
19	Protocadherins	0	0	56112	PCDHGA3
19	Protocadherins	0	0	56113	PCDHGA2
19	Protocadherins	0	0	56114	PCDHGA1
19	Protocadherins	0	0	56115	PCDHG@
19	Protocadherins	0	0	56116	PCDHB@
19	Protocadherins	0	0	56117	PCDHA@
19	Protocadherins	0	0	56118	PCDHGCT
19	Protocadherins	0	0	56119	PCDHACT
19	Protocadherins	0	0	56120	PCDHGB8P
19	Protocadherins	0	0	56121	PCDHB15
19	Protocadherins	0	0	56122	PCDHB14
19	Protocadherins	0	0	56123	PCDHB13
19	Protocadherins	0	0	56124	PCDHB12
19	Protocadherins	0	0	56125	PCDHB11
19	Protocadherins	0	0	56126	PCDHB10
19	Protocadherins	0	0	56127	PCDHB9
19	Protocadherins	0	0	56128	PCDHB8
19	Protocadherins	0	0	56129	PCDHB7
19	Protocadherins	0	0	56130	PCDHB6
19	Protocadherins	0	0	56131	PCDHB4
19	Protocadherins	0	0	56132	PCDHB3
19	Protocadherins	0	0	56133	PCDHB2
19	Protocadherins	0	0	56134	PCDHAC2
19	Protocadherins	0	0	56135	PCDHAC1
19	Protocadherins	0	0	56136	PCDHA13
19	Protocadherins	0	0	56137	PCDHA12
19	Protocadherins	0	0	56138	PCDHA11
19	Protocadherins	0	0	56139	PCDHA10
19	Protocadherins	0	0	56140	PCDHA8
19	Protocadherins	0	0	56141	PCDHA7
19	Protocadherins	0	0	56142	PCDHA6
19	Protocadherins	0	0	56143	PCDHA5
19	Protocadherins	0	0	56144	PCDHA4
19	Protocadherins	0	0	56145	PCDHA3
19	Protocadherins	0	0	56146	PCDHA2
19	Protocadherins	0	0	56147	PCDHA1
19	Protocadherins	0	0	57526	PCDH19
19	Protocadherins	0	0	57575	PCDH10
19	Protocadherins	0	0	57717	PCDHB16
19	Protocadherins	0	0	64881	PCDH20
19	Protocadherins	0	0	83259	PCDH11Y
19	Protocadherins	0	0	84054	PCDHB19P
19	Protocadherins	0	0	84055	PCDHGB9P
20	Clustered protocadherins	0	1	5098	PCDHGC3
20	Clustered protocadherins	0	1	8641	PCDHGB4
20	Clustered protocadherins	0	1	9708	PCDHGA8
20	Clustered protocadherins	0	1	9752	PCDHA9
20	Clustered protocadherins	0	1	26025	PCDHGA12
20	Clustered protocadherins	0	1	26167	PCDHB5
20	Clustered protocadherins	0	1	26307	PCDHA14
20	Clustered protocadherins	0	1	29930	PCDHB1
20	Clustered protocadherins	0	1	54660	PCDHB18P
20	Clustered protocadherins	0	1	54661	PCDHB17P
20	Clustered protocadherins	0	1	56097	PCDHGC5
20	Clustered protocadherins	0	1	56098	PCDHGC4
20	Clustered protocadherins	0	1	56099	PCDHGB7
20	Clustered protocadherins	0	1	56100	PCDHGB6
20	Clustered protocadherins	0	1	56101	PCDHGB5
20	Clustered protocadherins	0	1	56102	PCDHGB3
20	Clustered protocadherins	0	1	56103	PCDHGB2
20	Clustered protocadherins	0	1	56104	PCDHGB1
20	Clustered protocadherins	0	1	56105	PCDHGA11
20	Clustered protocadherins	0	1	56106	PCDHGA10
20	Clustered protocadherins	0	1	56107	PCDHGA9
20	Clustered protocadherins	0	1	56108	PCDHGA7
20	Clustered protocadherins	0	1	56109	PCDHGA6
20	Clustered protocadherins	0	1	56110	PCDHGA5
20	Clustered protocadherins	0	1	56111	PCDHGA4
20	Clustered protocadherins	0	1	56112	PCDHGA3
20	Clustered protocadherins	0	1	56113	PCDHGA2
20	Clustered protocadherins	0	1	56114	PCDHGA1
20	Clustered protocadherins	0	1	56115	PCDHG@
20	Clustered protocadherins	0	1	56116	PCDHB@
20	Clustered protocadherins	0	1	56117	PCDHA@
20	Clustered protocadherins	0	1	56118	PCDHGCT
20	Clustered protocadherins	0	1	56119	PCDHACT
20	Clustered protocadherins	0	1	56120	PCDHGB8P
20	Clustered protocadherins	0	1	56121	PCDHB15
20	Clustered protocadherins	0	1	56122	PCDHB14
20	Clustered protocadherins	0	1	56123	PCDHB13
20	Clustered protocadherins	0	1	56124	PCDHB12
20	Clustered protocadherins	0	1	56125	PCDHB11
20	Clustered protocadherins	0	1	56126	PCDHB10
20	Clustered protocadherins	0	1	56127	PCDHB9
20	Clustered protocadherins	0	1	56128	PCDHB8
20	Clustered protocadherins	0	1	56129	PCDHB7
20	Clustered protocadherins	0	1	56130	PCDHB6
20	Clustered protocadherins	0	1	56131	PCDHB4
20	Clustered protocadherins	0	1	56132	PCDHB3
20	Clustered protocadherins	0	1	56133	PCDHB2
20	Clustered protocadherins	0	1	56134	PCDHAC2
20	Clustered protocadherins	0	1	56135	PCDHAC1
20	Clustered protocadherins	0	1	56136	PCDHA13
20	Clustered protocadherins	0	1	56137	PCDHA12
20	Clustered protocadherins	0	1	56138	PCDHA11
20	Clustered protocadherins	0	1	56139	PCDHA10
20	Clustered protocadherins	0	1	56140	PCDHA8
20	Clustered protocadherins	0	1	56141	PCDHA7
20	Clustered protocadherins	0	1	56142	PCDHA6
20	Clustered protocadherins	0	1	56143	PCDHA5
20	Clustered protocadherins	0	1	56144	PCDHA4
20	Clustered protocadherins	0	1	56145	PCDHA3
20	Clustered protocadherins	0	1	56146	PCDHA2
20	Clustered protocadherins	0	1	56147	PCDHA1
20	Clustered protocadherins	0	1	57717	PCDHB16
20	Clustered protocadherins	0	1	84054	PCDHB19P
20	Clustered protocadherins	0	1	84055	PCDHGB9P
21	Non-clustered protocadherins	0	1	5097	PCDH1
21	Non-clustered protocadherins	0	1	5099	PCDH7
21	Non-clustered protocadherins	0	1	5100	PCDH8
21	Non-clustered protocadherins	0	1	5101	PCDH9
21	Non-clustered protocadherins	0	1	27253	PCDH17
21	Non-clustered protocadherins	0	1	27328	PCDH11X
21	Non-clustered protocadherins	0	1	51294	PCDH12
21	Non-clustered protocadherins	0	1	54510	PCDH18
21	Non-clustered protocadherins	0	1	57526	PCDH19
21	Non-clustered protocadherins	0	1	57575	PCDH10
21	Non-clustered protocadherins	0	1	64881	PCDH20
21	Non-clustered protocadherins	0	1	83259	PCDH11Y
24	Cadherin related	0	1	2195	FAT1
24	Cadherin related	0	1	2196	FAT2
24	Cadherin related	0	1	5979	RET
24	Cadherin related	0	1	8642	DCHS1
24	Cadherin related	0	1	9746	CLSTN3
24	Cadherin related	0	1	22883	CLSTN1
24	Cadherin related	0	1	53841	CDHR5
24	Cadherin related	0	1	54798	DCHS2
24	Cadherin related	0	1	54825	CDHR2
24	Cadherin related	0	1	64072	CDH23
24	Cadherin related	0	1	64084	CLSTN2
24	Cadherin related	0	1	65217	PCDH15
24	Cadherin related	0	1	79633	FAT4
24	Cadherin related	0	1	92211	CDHR1
24	Cadherin related	0	1	120114	FAT3
24	Cadherin related	0	1	222256	CDHR3
24	Cadherin related	0	1	389118	CDHR4
26	Zinc fingers	1	0	142	PARP1
26	Zinc fingers	1	0	190	NR0B1
26	Zinc fingers	1	0	267	AMFR
26	Zinc fingers	1	0	326	AIRE
26	Zinc fingers	1	0	329	BIRC2
26	Zinc fingers	1	0	330	BIRC3
26	Zinc fingers	1	0	367	AR
26	Zinc fingers	1	0	373	TRIM23
26	Zinc fingers	1	0	463	ZFHX3
26	Zinc fingers	1	0	473	RERE
26	Zinc fingers	1	0	604	BCL6
26	Zinc fingers	1	0	639	PRDM1
26	Zinc fingers	1	0	646	BNC1
26	Zinc fingers	1	0	648	BMI1
26	Zinc fingers	1	0	672	BRCA1
26	Zinc fingers	1	0	677	ZFP36L1
26	Zinc fingers	1	0	678	ZFP36L2
26	Zinc fingers	1	0	687	KLF9
26	Zinc fingers	1	0	688	KLF5
26	Zinc fingers	1	0	741	ZNHIT2
26	Zinc fingers	1	0	862	RUNX1T1
26	Zinc fingers	1	0	863	CBFA2T3
26	Zinc fingers	1	0	867	CBL
26	Zinc fingers	1	0	868	CBLB
26	Zinc fingers	1	0	1107	CHD3
26	Zinc fingers	1	0	1108	CHD4
26	Zinc fingers	1	0	1316	KLF6
26	Zinc fingers	1	0	1387	CREBBP
26	Zinc fingers	1	0	1396	CRIP1
26	Zinc fingers	1	0	1397	CRIP2
26	Zinc fingers	1	0	1465	CSRP1
26	Zinc fingers	1	0	1466	CSRP2
26	Zinc fingers	1	0	1756	DMD
26	Zinc fingers	1	0	1786	DNMT1
26	Zinc fingers	1	0	1821	DRP2
26	Zinc fingers	1	0	1837	DTNA
26	Zinc fingers	1	0	1838	DTNB
26	Zinc fingers	1	0	1877	E4F1
26	Zinc fingers	1	0	1958	EGR1
26	Zinc fingers	1	0	1959	EGR2
26	Zinc fingers	1	0	1960	EGR3
26	Zinc fingers	1	0	1961	EGR4
26	Zinc fingers	1	0	2033	EP300
26	Zinc fingers	1	0	2063	NR2F6
26	Zinc fingers	1	0	2099	ESR1
26	Zinc fingers	1	0	2100	ESR2
26	Zinc fingers	1	0	2101	ESRRA
26	Zinc fingers	1	0	2103	ESRRB
26	Zinc fingers	1	0	2104	ESRRG
26	Zinc fingers	1	0	2122	MECOM
26	Zinc fingers	1	0	2130	EWSR1
26	Zinc fingers	1	0	2186	BPTF
26	Zinc fingers	1	0	2245	FGD1
26	Zinc fingers	1	0	2273	FHL1
26	Zinc fingers	1	0	2274	FHL2
26	Zinc fingers	1	0	2275	FHL3
26	Zinc fingers	1	0	2494	NR5A2
26	Zinc fingers	1	0	2516	NR5A1
26	Zinc fingers	1	0	2521	FUS
26	Zinc fingers	1	0	2623	GATA1
26	Zinc fingers	1	0	2624	GATA2
26	Zinc fingers	1	0	2625	GATA3
26	Zinc fingers	1	0	2626	GATA4
26	Zinc fingers	1	0	2627	GATA6
26	Zinc fingers	1	0	2649	NR6A1
26	Zinc fingers	1	0	2672	GFI1
26	Zinc fingers	1	0	2735	GLI1
26	Zinc fingers	1	0	2736	GLI2
26	Zinc fingers	1	0	2737	GLI3
26	Zinc fingers	1	0	2738	GLI4
26	Zinc fingers	1	0	2908	NR3C1
26	Zinc fingers	1	0	2971	GTF3A
26	Zinc fingers	1	0	3090	HIC1
26	Zinc fingers	1	0	3096	HIVEP1
26	Zinc fingers	1	0	3097	HIVEP2
26	Zinc fingers	1	0	3104	ZBTB48
26	Zinc fingers	1	0	3164	NR4A1
26	Zinc fingers	1	0	3172	HNF4A
26	Zinc fingers	1	0	3174	HNF4G
26	Zinc fingers	1	0	3431	SP110
26	Zinc fingers	1	0	3508	IGHMBP2
26	Zinc fingers	1	0	3621	ING1
26	Zinc fingers	1	0	3622	ING2
26	Zinc fingers	1	0	3670	ISL1
26	Zinc fingers	1	0	3927	LASP1
26	Zinc fingers	1	0	3975	LHX1
26	Zinc fingers	1	0	3980	LIG3
26	Zinc fingers	1	0	3983	ABLIM1
26	Zinc fingers	1	0	3984	LIMK1
26	Zinc fingers	1	0	3985	LIMK2
26	Zinc fingers	1	0	3987	LIMS1
26	Zinc fingers	1	0	4004	LMO1
26	Zinc fingers	1	0	4005	LMO2
26	Zinc fingers	1	0	4007	PRICKLE3
26	Zinc fingers	1	0	4008	LMO7
26	Zinc fingers	1	0	4009	LMX1A
26	Zinc fingers	1	0	4010	LMX1B
26	Zinc fingers	1	0	4026	LPP
26	Zinc fingers	1	0	4077	NBR1
26	Zinc fingers	1	0	4150	MAZ
26	Zinc fingers	1	0	4152	MBD1
26	Zinc fingers	1	0	4154	MBNL1
26	Zinc fingers	1	0	4193	MDM2
26	Zinc fingers	1	0	4214	MAP3K1
26	Zinc fingers	1	0	4281	MID1
26	Zinc fingers	1	0	4297	KMT2A
26	Zinc fingers	1	0	4302	MLLT6
26	Zinc fingers	1	0	4306	NR3C2
26	Zinc fingers	1	0	4331	MNAT1
26	Zinc fingers	1	0	4591	TRIM37
26	Zinc fingers	1	0	4661	MYT1
26	Zinc fingers	1	0	4799	NFX1
26	Zinc fingers	1	0	4892	NRAP
26	Zinc fingers	1	0	4929	NR4A2
26	Zinc fingers	1	0	5017	OVOL1
26	Zinc fingers	1	0	5134	PDCD2
26	Zinc fingers	1	0	5178	PEG3
26	Zinc fingers	1	0	5192	PEX10
26	Zinc fingers	1	0	5241	PGR
26	Zinc fingers	1	0	5252	PHF1
26	Zinc fingers	1	0	5253	PHF2
26	Zinc fingers	1	0	5324	PLAG1
26	Zinc fingers	1	0	5325	PLAGL1
26	Zinc fingers	1	0	5326	PLAGL2
26	Zinc fingers	1	0	5371	PML
26	Zinc fingers	1	0	5465	PPARA
26	Zinc fingers	1	0	5467	PPARD
26	Zinc fingers	1	0	5468	PPARG
26	Zinc fingers	1	0	5612	THAP12
26	Zinc fingers	1	0	5828	PEX2
26	Zinc fingers	1	0	5829	PXN
26	Zinc fingers	1	0	5896	RAG1
26	Zinc fingers	1	0	5903	RANBP2
26	Zinc fingers	1	0	5913	RAPSN
26	Zinc fingers	1	0	5914	RARA
26	Zinc fingers	1	0	5915	RARB
26	Zinc fingers	1	0	5916	RARG
26	Zinc fingers	1	0	5927	KDM5A
26	Zinc fingers	1	0	5936	RBM4
26	Zinc fingers	1	0	5977	DPF2
26	Zinc fingers	1	0	5987	TRIM27
26	Zinc fingers	1	0	5988	RFPL1
26	Zinc fingers	1	0	6015	RING1
26	Zinc fingers	1	0	6018	RLF
26	Zinc fingers	1	0	6045	RNF2
26	Zinc fingers	1	0	6047	RNF4
26	Zinc fingers	1	0	6048	RNF5
26	Zinc fingers	1	0	6049	RNF6
26	Zinc fingers	1	0	6095	RORA
26	Zinc fingers	1	0	6096	RORB
26	Zinc fingers	1	0	6097	RORC
26	Zinc fingers	1	0	6239	RREB1
26	Zinc fingers	1	0	6256	RXRA
26	Zinc fingers	1	0	6257	RXRB
26	Zinc fingers	1	0	6258	RXRG
26	Zinc fingers	1	0	6297	SALL2
26	Zinc fingers	1	0	6299	SALL1
26	Zinc fingers	1	0	6432	SRSF7
26	Zinc fingers	1	0	6591	SNAI2
26	Zinc fingers	1	0	6596	HLTF
26	Zinc fingers	1	0	6615	SNAI1
26	Zinc fingers	1	0	6650	CAPN15
26	Zinc fingers	1	0	6667	SP1
26	Zinc fingers	1	0	6668	SP2
26	Zinc fingers	1	0	6670	SP3
26	Zinc fingers	1	0	6671	SP4
26	Zinc fingers	1	0	6672	SP100
26	Zinc fingers	1	0	6737	TRIM21
26	Zinc fingers	1	0	6935	ZEB1
26	Zinc fingers	1	0	6940	ZNF354A
26	Zinc fingers	1	0	6941	TCF19
26	Zinc fingers	1	0	7025	NR2F1
26	Zinc fingers	1	0	7026	NR2F2
26	Zinc fingers	1	0	7041	TGFB1I1
26	Zinc fingers	1	0	7067	THRA
26	Zinc fingers	1	0	7068	THRB
26	Zinc fingers	1	0	7071	KLF10
26	Zinc fingers	1	0	7101	NR2E1
26	Zinc fingers	1	0	7156	TOP3A
26	Zinc fingers	1	0	7181	NR2C1
26	Zinc fingers	1	0	7182	NR2C2
26	Zinc fingers	1	0	7186	TRAF2
26	Zinc fingers	1	0	7187	TRAF3
26	Zinc fingers	1	0	7188	TRAF5
26	Zinc fingers	1	0	7189	TRAF6
26	Zinc fingers	1	0	7205	TRIP6
26	Zinc fingers	1	0	7227	TRPS1
26	Zinc fingers	1	0	7267	TTC3
26	Zinc fingers	1	0	7310	ZRSR1
26	Zinc fingers	1	0	7376	NR1H2
26	Zinc fingers	1	0	7402	UTRN
26	Zinc fingers	1	0	7421	VDR
26	Zinc fingers	1	0	7468	NSD2
26	Zinc fingers	1	0	7490	WT1
26	Zinc fingers	1	0	7528	YY1
26	Zinc fingers	1	0	7536	SF1
26	Zinc fingers	1	0	7538	ZFP36
26	Zinc fingers	1	0	7539	ZFP37
26	Zinc fingers	1	0	7541	ZBTB14
26	Zinc fingers	1	0	7543	ZFX
26	Zinc fingers	1	0	7544	ZFY
26	Zinc fingers	1	0	7545	ZIC1
26	Zinc fingers	1	0	7546	ZIC2
26	Zinc fingers	1	0	7547	ZIC3
26	Zinc fingers	1	0	7549	ZNF2
26	Zinc fingers	1	0	7551	ZNF3
26	Zinc fingers	1	0	7552	ZNF711
26	Zinc fingers	1	0	7553	ZNF7
26	Zinc fingers	1	0	7554	ZNF8
26	Zinc fingers	1	0	7555	CNBP
26	Zinc fingers	1	0	7556	ZNF10
26	Zinc fingers	1	0	7559	ZNF12
